,outcome,redTeam1,redTeam1R,redTeam2,redTeam2R,redTeam3,redTeam3R,redTeam4,redTeam4R,redTeam5,redTeam5R,blueTeam1,blueTeam1R,blueTeam2,blueTeam2R,blueTeam3,blueTeam3R,blueTeam4,blueTeam4R,blueTeam5,blueTeam5R
0,0,266,TOP,245,JUNGLE,3,MIDDLE,222,BOTTOM,78,UTILITY,58,TOP,238,JUNGLE,7,MIDDLE,115,BOTTOM,432,UTILITY
0,0,84,TOP,5,JUNGLE,21,MIDDLE,81,BOTTOM,43,UTILITY,24,TOP,245,JUNGLE,145,MIDDLE,202,BOTTOM,432,UTILITY
0,0,84,TOP,245,JUNGLE,236,MIDDLE,81,BOTTOM,154,UTILITY,897,TOP,30,JUNGLE,201,UTILITY,42,MIDDLE,221,BOTTOM
0,1,91,TOP,59,JUNGLE,84,MIDDLE,119,BOTTOM,16,UTILITY,79,TOP,62,JUNGLE,157,BOTTOM,42,MIDDLE,518,UTILITY
0,1,98,TOP,245,JUNGLE,81,MIDDLE,145,BOTTOM,89,UTILITY,58,TOP,234,JUNGLE,4,MIDDLE,63,BOTTOM,267,UTILITY
0,0,41,TOP,203,JUNGLE,268,MIDDLE,81,BOTTOM,89,UTILITY,78,TOP,245,JUNGLE,18,MIDDLE,145,BOTTOM,555,UTILITY
0,0,78,TOP,245,JUNGLE,54,MIDDLE,119,BOTTOM,111,UTILITY,517,TOP,5,JUNGLE,103,MIDDLE,21,BOTTOM,526,UTILITY
0,0,36,TOP,77,JUNGLE,84,MIDDLE,236,BOTTOM,40,UTILITY,85,TOP,59,JUNGLE,777,MIDDLE,221,BOTTOM,902,UTILITY
0,1,84,TOP,59,JUNGLE,134,MIDDLE,498,BOTTOM,89,UTILITY,163,MIDDLE,120,JUNGLE,150,TOP,145,BOTTOM,412,UTILITY
0,0,54,TOP,245,JUNGLE,42,MIDDLE,21,BOTTOM,555,UTILITY,24,TOP,33,JUNGLE,18,MIDDLE,119,BOTTOM,89,UTILITY
0,1,24,TOP,59,JUNGLE,22,BOTTOM,105,MIDDLE,89,UTILITY,4,TOP,120,JUNGLE,131,MIDDLE,81,BOTTOM,201,UTILITY
0,0,58,TOP,876,JUNGLE,91,MIDDLE,81,BOTTOM,910,UTILITY,106,TOP,245,JUNGLE,236,MIDDLE,777,BOTTOM,432,UTILITY
0,0,517,TOP,245,JUNGLE,145,MIDDLE,202,BOTTOM,89,UTILITY,54,TOP,11,JUNGLE,157,MIDDLE,81,BOTTOM,40,UTILITY
0,1,77,TOP,245,JUNGLE,64,MIDDLE,81,BOTTOM,497,UTILITY,4,TOP,63,JUNGLE,246,MIDDLE,145,BOTTOM,89,UTILITY
0,0,2,TOP,77,JUNGLE,14,MIDDLE,222,BOTTOM,111,UTILITY,19,TOP,245,JUNGLE,99,BOTTOM,81,MIDDLE,432,UTILITY
0,1,58,TOP,5,JUNGLE,134,MIDDLE,202,BOTTOM,89,UTILITY,164,TOP,76,JUNGLE,18,MIDDLE,29,BOTTOM,201,UTILITY
0,1,901,TOP,427,JUNGLE,18,MIDDLE,221,BOTTOM,517,UTILITY,75,TOP,234,JUNGLE,110,MIDDLE,222,BOTTOM,57,UTILITY
0,1,36,TOP,427,JUNGLE,42,MIDDLE,222,BOTTOM,412,UTILITY,86,TOP,245,JUNGLE,110,MIDDLE,145,BOTTOM,57,UTILITY
0,1,85,TOP,63,JUNGLE,950,MIDDLE,222,BOTTOM,147,UTILITY,126,TOP,78,JUNGLE,136,MIDDLE,21,BOTTOM,89,UTILITY
0,0,221,TOP,30,JUNGLE,950,MIDDLE,236,BOTTOM,63,UTILITY,150,TOP,64,JUNGLE,268,MIDDLE,29,BOTTOM,117,UTILITY
0,0,777,TOP,143,JUNGLE,81,MIDDLE,21,BOTTOM,89,UTILITY,150,TOP,76,JUNGLE,24,MIDDLE,145,BOTTOM,201,UTILITY
0,1,6,TOP,63,JUNGLE,119,MIDDLE,222,BOTTOM,555,UTILITY,107,TOP,76,JUNGLE,236,MIDDLE,81,BOTTOM,78,UTILITY
0,0,266,TOP,120,JUNGLE,7,MIDDLE,222,BOTTOM,44,UTILITY,41,TOP,234,JUNGLE,3,MIDDLE,29,BOTTOM,555,UTILITY
0,1,122,TOP,35,JUNGLE,18,MIDDLE,523,BOTTOM,143,UTILITY,19,TOP,427,JUNGLE,42,MIDDLE,63,BOTTOM,555,UTILITY
0,0,221,TOP,154,JUNGLE,110,MIDDLE,81,BOTTOM,43,UTILITY,6,TOP,63,JUNGLE,145,MIDDLE,523,BOTTOM,26,UTILITY
