,outcome,redTeam,blueTeam,Role
0,0,555,89,UTILITY
0,1,24,4,TOP
0,1,59,120,JUNGLE
0,1,22,131,BOTTOM
0,1,105,81,MIDDLE
0,1,89,201,UTILITY
0,0,58,106,TOP
0,0,876,245,JUNGLE
0,0,91,236,MIDDLE
0,0,81,777,BOTTOM
0,0,910,432,UTILITY
0,0,517,54,TOP
0,0,245,11,JUNGLE
0,0,145,157,MIDDLE
0,0,202,81,BOTTOM
0,0,89,40,UTILITY
0,1,77,4,TOP
0,1,245,63,JUNGLE
0,1,64,246,MIDDLE
0,1,81,145,BOTTOM
0,1,497,89,UTILITY
0,0,2,19,TOP
0,0,77,245,JUNGLE
0,0,14,99,MIDDLE
0,0,222,81,BOTTOM
0,0,111,432,UTILITY
0,1,58,164,TOP
0,1,5,76,JUNGLE
0,1,134,18,MIDDLE
0,1,202,29,BOTTOM
0,1,89,201,UTILITY
0,1,901,75,TOP
0,1,427,234,JUNGLE
0,1,18,110,MIDDLE
0,1,221,222,BOTTOM
0,1,517,57,UTILITY
0,1,36,86,TOP
0,1,427,245,JUNGLE
0,1,42,110,MIDDLE
0,1,222,145,BOTTOM
0,1,412,57,UTILITY
0,1,85,126,TOP
0,1,63,78,JUNGLE
0,1,950,136,MIDDLE
0,1,222,21,BOTTOM
0,1,147,89,UTILITY
0,0,221,150,TOP
0,0,30,64,JUNGLE
0,0,950,268,MIDDLE
0,0,236,29,BOTTOM
0,0,63,117,UTILITY
0,0,777,150,TOP
0,0,143,76,JUNGLE
0,0,81,24,MIDDLE
0,0,21,145,BOTTOM
0,0,89,201,UTILITY
0,1,6,107,TOP
0,1,63,76,JUNGLE
0,1,119,236,MIDDLE
0,1,222,81,BOTTOM
0,1,555,78,UTILITY
0,0,266,41,TOP
0,0,120,234,JUNGLE
0,0,7,3,MIDDLE
0,0,222,29,BOTTOM
0,0,44,555,UTILITY
0,1,122,19,TOP
0,1,35,427,JUNGLE
0,1,18,42,MIDDLE
0,1,523,63,BOTTOM
0,1,143,555,UTILITY
0,0,221,6,TOP
0,0,154,63,JUNGLE
0,0,110,145,MIDDLE
0,0,81,523,BOTTOM
0,0,43,26,UTILITY
0,0,84,42,TOP
0,0,234,63,JUNGLE
0,0,103,68,MIDDLE
0,0,145,12,BOTTOM
0,0,111,21,UTILITY
0,1,24,106,TOP
0,1,64,63,JUNGLE
0,1,4,18,MIDDLE
0,1,81,145,BOTTOM
0,1,22,89,UTILITY
0,1,164,516,TOP
0,1,121,30,JUNGLE
0,1,69,18,MIDDLE
0,1,81,221,BOTTOM
0,1,89,12,UTILITY
0,1,41,85,MIDDLE
0,1,131,421,JUNGLE
0,1,84,114,TOP
0,1,51,221,BOTTOM
0,1,35,53,UTILITY
0,0,126,85,TOP
0,0,63,203,JUNGLE
0,0,81,18,MIDDLE
0,0,236,110,BOTTOM
0,0,111,201,UTILITY
0,0,54,236,TOP
0,0,203,427,JUNGLE
0,0,63,18,MIDDLE
0,0,81,145,BOTTOM
0,0,201,89,UTILITY
0,0,154,92,TOP
0,0,120,77,JUNGLE
0,0,39,268,MIDDLE
0,0,145,498,BOTTOM
0,0,143,40,UTILITY
0,0,18,150,TOP
0,0,254,876,JUNGLE
0,0,84,221,MIDDLE
0,0,21,81,BOTTOM
0,0,32,201,UTILITY
0,0,122,221,TOP
0,0,876,245,JUNGLE
0,0,119,133,MIDDLE
0,0,21,85,BOTTOM
0,0,99,44,UTILITY
0,1,36,234,TOP
0,1,91,24,JUNGLE
0,1,61,7,MIDDLE
0,1,498,81,BOTTOM
0,1,111,497,UTILITY
0,0,77,69,TOP
0,0,62,64,JUNGLE
0,0,517,84,MIDDLE
0,0,498,222,BOTTOM
0,0,497,57,UTILITY
0,1,36,76,TOP
0,1,254,32,JUNGLE
0,1,7,42,MIDDLE
0,1,202,221,BOTTOM
0,1,432,111,UTILITY
0,0,126,54,TOP
0,0,30,76,JUNGLE
0,0,42,236,MIDDLE
0,0,163,110,BOTTOM
0,0,164,888,UTILITY
0,0,33,126,TOP
0,0,64,113,JUNGLE
0,0,134,55,MIDDLE
0,0,221,222,BOTTOM
0,0,497,111,UTILITY
0,1,62,58,TOP
0,1,25,104,JUNGLE
0,1,21,42,BOTTOM
0,1,18,895,MIDDLE
0,1,164,497,UTILITY
0,0,67,150,TOP
0,0,120,234,JUNGLE
0,0,115,163,MIDDLE
0,0,498,222,BOTTOM
0,0,497,78,UTILITY
0,0,92,58,TOP
0,0,102,30,JUNGLE
0,0,166,236,MIDDLE
0,0,115,221,BOTTOM
0,0,497,432,UTILITY
0,1,92,68,TOP
0,1,5,76,JUNGLE
0,1,267,157,UTILITY
0,1,221,202,BOTTOM
0,1,134,111,MIDDLE
0,0,67,92,TOP
0,0,83,72,JUNGLE
0,0,42,7,MIDDLE
0,0,202,81,BOTTOM
0,0,89,96,UTILITY
0,1,92,897,TOP
0,1,35,91,JUNGLE
0,1,61,134,MIDDLE
0,1,21,236,BOTTOM
0,1,26,902,UTILITY
0,0,67,164,TOP
0,0,245,63,JUNGLE
0,0,42,81,MIDDLE
0,0,145,221,BOTTOM
0,0,526,78,UTILITY
0,0,102,6,JUNGLE
0,0,92,30,TOP
0,0,18,80,MIDDLE
0,0,145,910,BOTTOM
0,0,40,78,UTILITY
0,0,86,92,TOP
0,0,76,421,JUNGLE
0,0,950,4,MIDDLE
0,0,221,901,BOTTOM
0,0,497,16,UTILITY
0,0,67,266,TOP
0,0,30,203,JUNGLE
0,0,950,134,MIDDLE
0,0,21,145,BOTTOM
0,0,113,89,UTILITY
0,1,67,68,TOP
0,1,421,254,JUNGLE
0,1,154,7,MIDDLE
0,1,81,498,BOTTOM
0,1,432,888,UTILITY
0,1,145,24,MIDDLE
0,1,421,106,JUNGLE
0,1,23,69,TOP
0,1,22,202,BOTTOM
0,1,147,164,UTILITY
0,0,67,92,TOP
0,0,77,63,JUNGLE
0,0,81,234,MIDDLE
0,0,202,22,BOTTOM
0,0,101,888,UTILITY
0,0,67,164,TOP
0,0,9,200,JUNGLE
0,0,202,517,MIDDLE
0,0,22,221,BOTTOM
0,0,89,497,UTILITY
0,0,54,67,TOP
0,0,30,234,JUNGLE
0,0,777,142,MIDDLE
0,0,119,81,BOTTOM
0,0,555,40,UTILITY
0,0,92,266,TOP
0,0,63,64,JUNGLE
0,0,777,84,MIDDLE
0,0,910,145,BOTTOM
0,0,201,555,UTILITY
0,1,67,68,TOP
0,1,203,64,JUNGLE
0,1,101,115,MIDDLE
0,1,21,81,BOTTOM
0,1,89,12,UTILITY
0,1,236,67,TOP
0,1,76,77,JUNGLE
0,1,115,3,MIDDLE
0,1,202,81,BOTTOM
0,1,37,555,UTILITY
0,0,67,150,TOP
0,0,120,113,JUNGLE
0,0,55,157,MIDDLE
0,0,145,115,BOTTOM
0,0,12,78,UTILITY
0,0,82,67,TOP
0,0,121,20,JUNGLE
0,0,81,4,MIDDLE
0,0,21,22,BOTTOM
0,0,147,53,UTILITY
0,0,41,92,TOP
0,0,876,77,JUNGLE
0,0,110,268,BOTTOM
0,0,81,202,MIDDLE
0,0,111,147,UTILITY
0,0,164,126,UTILITY
0,0,203,76,JUNGLE
0,0,163,42,MIDDLE
0,0,81,30,BOTTOM
0,0,62,89,TOP
0,0,92,24,TOP
0,0,163,63,JUNGLE
0,0,950,42,MIDDLE
0,0,115,119,BOTTOM
0,0,89,111,UTILITY
0,1,67,77,TOP
0,1,20,145,JUNGLE
0,1,236,42,MIDDLE
0,1,63,30,BOTTOM
0,1,111,89,UTILITY
0,1,126,64,TOP
0,1,63,67,JUNGLE
0,1,202,4,MIDDLE
0,1,222,81,BOTTOM
0,1,111,201,UTILITY
