,0
290,NA1_5037580720
291,NA1_5037559245
292,NA1_5037486855
293,NA1_5037283759
294,NA1_5037009053
295,NA1_5036987336
296,NA1_5036962440
297,NA1_5036943456
298,NA1_5036765941
299,NA1_5036729013
300,NA1_5037858417
301,NA1_5037834503
302,NA1_5037240034
303,NA1_5037166402
304,NA1_5037132716
305,NA1_5036558023
306,NA1_5036538592
307,NA1_5036534063
308,NA1_5036515640
309,NA1_5036369528
310,NA1_5036317447
311,NA1_5036046375
312,NA1_5036026801
313,NA1_5036000266
314,NA1_5035980740
315,NA1_5035955096
316,NA1_5033280449
317,NA1_5033257752
318,NA1_5033213728
319,NA1_5032715307
320,NA1_5032687444
321,NA1_5032672818
322,NA1_5032644115
323,NA1_5032012298
324,NA1_5031996095
325,NA1_5031429735
326,NA1_5031388532
327,NA1_5031152388
328,NA1_5031119580
329,NA1_5030831842
330,NA1_5030789527
331,NA1_5030767956
332,NA1_5030572364
333,NA1_5030527160
334,NA1_5030501327
335,NA1_5029551495
336,NA1_5029531245
337,NA1_5029500368
338,NA1_5029484934
339,NA1_5029446610
340,NA1_5029427752
341,NA1_5039153930
342,NA1_5039087350
343,NA1_5038726901
344,NA1_5038624631
345,NA1_5038584158
346,NA1_5037256448
347,NA1_5037239738
348,NA1_5036789364
349,NA1_5036739956
350,NA1_5036703167
351,NA1_5038479582
352,NA1_5038451490
353,NA1_5038423956
354,NA1_5038395714
355,NA1_5038363908
356,NA1_5038344292
357,NA1_5037756857
358,NA1_5037742418
359,NA1_5037522382
360,NA1_5037490669
361,NA1_5036611081
362,NA1_5036575056
363,NA1_5036550762
364,NA1_5036036194
365,NA1_5036016053
366,NA1_5034783006
367,NA1_5034752663
368,NA1_5034720501
369,NA1_5034713052
370,NA1_5037718250
371,NA1_5037705261
372,NA1_5037294950
373,NA1_5037202312
374,NA1_5037183461
375,NA1_5036695336
376,NA1_5035525786
377,NA1_5035506035
378,NA1_5028046641
379,NA1_5026965616
380,NA1_5026016660
381,NA1_5026001992
382,NA1_5025970120
383,NA1_5025946191
384,NA1_5025603476
385,NA1_5022574774
386,NA1_5022554014
387,NA1_5021486323
388,NA1_5021161174
389,NA1_5021142605
390,NA1_5039140331
391,NA1_5039120234
392,NA1_5039090566
393,NA1_5039078038
394,NA1_5038440728
395,NA1_5037413642
396,NA1_5037378649
397,NA1_5036950082
398,NA1_5036931299
399,NA1_5036831851
400,NA1_5036785452
401,NA1_5036756531
402,NA1_5035185670
403,NA1_5035166661
404,NA1_5034915533
405,NA1_5034844644
406,NA1_5034522483
407,NA1_5034500429
408,NA1_5037574039
409,NA1_5037503659
410,NA1_5036951801
411,NA1_5036347676
412,NA1_5035788760
413,NA1_5035763739
414,NA1_5035699350
415,NA1_5035411362
416,NA1_5035266858
417,NA1_5035247859
418,NA1_5035233378
419,NA1_5035203619
420,NA1_5034533961
421,NA1_5033710485
422,NA1_5033695025
423,NA1_5033669252
424,NA1_5033254077
425,NA1_5033214033
426,NA1_5032647676
427,NA1_5039160101
428,NA1_5039132293
429,NA1_5038510606
430,NA1_5038118460
431,NA1_5037974148
432,NA1_5037233688
433,NA1_5037191171
434,NA1_5037105656
435,NA1_5036893975
436,NA1_5036238535
437,NA1_5036175613
438,NA1_5035607364
439,NA1_5035585068
440,NA1_5035560190
441,NA1_5037247309
442,NA1_5037230445
443,NA1_5036867839
444,NA1_5036843407
445,NA1_5036386748
446,NA1_5036268788
447,NA1_5034438433
448,NA1_5034377104
449,NA1_5033237128
450,NA1_5032627245
451,NA1_5032581880
452,NA1_5033527686
453,NA1_5033515970
454,NA1_5033500949
455,NA1_5033469645
456,NA1_5032815924
457,NA1_5032367288
458,NA1_5032321595
459,NA1_5032280721
460,NA1_5032265664
461,NA1_5031743357
462,NA1_5031716079
463,NA1_5031694990
464,NA1_5028567245
465,NA1_5028536974
466,NA1_5028499578
467,NA1_5028485298
468,NA1_5028469605
469,NA1_5028457259
470,NA1_5027963191
471,NA1_5027921611
472,NA1_5027890098
473,NA1_5027780544
474,NA1_5027327410
475,NA1_5027270988
476,NA1_5038370613
477,NA1_5038356008
478,NA1_5038335509
479,NA1_5038175124
480,NA1_5038097888
481,NA1_5037785938
482,NA1_5037150199
483,NA1_5037131627
484,NA1_5036158428
485,NA1_5036123633
486,NA1_5036106923
487,NA1_5036088877
488,NA1_5036068978
489,NA1_5036052331
490,NA1_5036037674
491,NA1_5034694674
492,NA1_5034313489
493,NA1_5034290620
494,NA1_5032993550
495,NA1_5032923051
496,NA1_5032898700
497,NA1_5032893924
498,NA1_5031135931
499,NA1_5031109609
500,NA1_5031097677
501,NA1_5031072591
502,NA1_5025190583
503,NA1_5023405043
504,NA1_5023370787
505,NA1_5023334534
506,NA1_5023313854
507,NA1_5023286889
508,NA1_5038578757
509,NA1_5038461872
510,NA1_5038420583
511,NA1_5037838709
512,NA1_5037824800
513,NA1_5037808831
514,NA1_5037757536
515,NA1_5036819485
516,NA1_5036743920
517,NA1_5038253511
518,NA1_5038248895
519,NA1_5037588780
520,NA1_5037437692
521,NA1_5037152454
522,NA1_5035428240
523,NA1_5034897411
524,NA1_5034843702
525,NA1_5034802859
526,NA1_5034764653
527,NA1_5034058500
528,NA1_5034049017
529,NA1_5034031145
530,NA1_5033571968
531,NA1_5033553167
532,NA1_5033538012
533,NA1_5033525921
534,NA1_5033505202
535,NA1_5032340001
536,NA1_5038077322
537,NA1_5038056902
538,NA1_5037541209
539,NA1_5037401208
540,NA1_5037371854
541,NA1_5037310696
542,NA1_5037212291
543,NA1_5037180872
544,NA1_5037158358
545,NA1_5036984223
546,NA1_5039189292
547,NA1_5037980201
548,NA1_5037952208
549,NA1_5037887156
550,NA1_5037831900
551,NA1_5037272792
552,NA1_5037242476
553,NA1_5036828452
554,NA1_5039130518
555,NA1_5039107293
556,NA1_5037208385
557,NA1_5034883536
558,NA1_5034864117
559,NA1_5034806394
560,NA1_5034232017
561,NA1_5034205703
562,NA1_5034198826
563,NA1_5034179938
564,NA1_5038087950
565,NA1_5036329489
566,NA1_5035090878
567,NA1_5034499419
568,NA1_5034477724
569,NA1_5034345886
570,NA1_5033865592
571,NA1_5033835652
572,NA1_5033563252
573,NA1_5033275219
574,NA1_5033247150
575,NA1_5039157848
576,NA1_5038785097
577,NA1_5038006995
578,NA1_5037712473
579,NA1_5037548813
580,NA1_5037125820
581,NA1_5036952485
582,NA1_5036415761
583,NA1_5036366512
584,NA1_5036351756
585,NA1_5039134527
586,NA1_5038705300
587,NA1_5038492628
588,NA1_5038374461
589,NA1_5037993846
590,NA1_5037914118
591,NA1_5037889980
592,NA1_5037725970
593,NA1_5037699954
594,NA1_5037689327
595,NA1_5037502855
596,NA1_5037443629
597,NA1_5037415021
598,NA1_5037374091
599,NA1_5037325546
600,NA1_5037265144
601,NA1_5037241878
602,NA1_5037219077
603,NA1_5036864926
604,NA1_5035412923
605,NA1_5034424993
606,NA1_5032254339
607,NA1_5032241477
608,NA1_5032220935
609,NA1_5031206810
610,NA1_5026449685
611,NA1_5026430205
612,NA1_5025865074
613,NA1_5025063777
614,NA1_5023762561
615,NA1_5023709574
616,NA1_5023688020
617,NA1_5023664727
618,NA1_5023197016
619,NA1_5023183334
620,NA1_5022176708
621,NA1_5022145647
622,NA1_5022115763
623,NA1_5021688103
624,NA1_5021675762
625,NA1_5020822643
626,NA1_5020789680
627,NA1_5020767975
628,NA1_5038966257
629,NA1_5038437508
630,NA1_5038318015
631,NA1_5038303332
632,NA1_5037734438
633,NA1_5036576874
634,NA1_5036189662
635,NA1_5036156741
636,NA1_5036113717
637,NA1_5036092579
638,NA1_5035868152
639,NA1_5035857768
640,NA1_5035291968
641,NA1_5035209259
642,NA1_5035191237
643,NA1_5028882062
644,NA1_5028848069
645,NA1_5028738396
646,NA1_5038679835
647,NA1_5038063067
648,NA1_5037338627
649,NA1_5037161292
650,NA1_5036417291
651,NA1_5036393089
652,NA1_5036360283
653,NA1_5036059796
654,NA1_5035834981
655,NA1_5035816093
656,NA1_5035730083
657,NA1_5035183511
658,NA1_5036455207
659,NA1_5036440262
660,NA1_5036423348
661,NA1_5036412200
662,NA1_5036396164
663,NA1_5036165030
664,NA1_5035313267
665,NA1_5035307032
666,NA1_5035294690
667,NA1_5035291185
668,NA1_5035284773
669,NA1_5035272469
670,NA1_5035232452
671,NA1_5037113224
672,NA1_5037088354
673,NA1_5035935071
674,NA1_5034736771
675,NA1_5034658741
676,NA1_5034646090
677,NA1_5034640237
678,NA1_5034631663
679,NA1_5034635806
680,NA1_5034133517
681,NA1_5034118508
682,NA1_5034063249
683,NA1_5034054109
684,NA1_5034043325
685,NA1_5034021170
686,NA1_5034017907
687,NA1_5033416527
688,NA1_5033406239
689,NA1_5039043677
690,NA1_5039023398
691,NA1_5039007548
692,NA1_5036229568
693,NA1_5036202559
694,NA1_5036177967
695,NA1_5034164389
696,NA1_5034145582
697,NA1_5033968095
698,NA1_5033944669
699,NA1_5033932682
700,NA1_5033918439
701,NA1_5033882726
702,NA1_5033853859
703,NA1_5039182546
704,NA1_5037937937
705,NA1_5037893593
706,NA1_5037869745
707,NA1_5037836859
708,NA1_5037276800
709,NA1_5037219849
710,NA1_5037197325
711,NA1_5036668787
712,NA1_5036623863
713,NA1_5036107622
714,NA1_5036092783
715,NA1_5036062304
716,NA1_5035510579
717,NA1_5035491893
718,NA1_5035468859
719,NA1_5035424147
720,NA1_5039176913
721,NA1_5039145239
722,NA1_5039077902
723,NA1_5039029249
724,NA1_5037227409
725,NA1_5037207235
726,NA1_5036009424
727,NA1_5035994936
728,NA1_5035313857
729,NA1_5037964789
730,NA1_5037932136
731,NA1_5037855849
732,NA1_5032272051
733,NA1_5031865053
734,NA1_5031832469
735,NA1_5031821002
736,NA1_5031796310
737,NA1_5031662075
738,NA1_5029933969
739,NA1_5029903263
740,NA1_5029889248
741,NA1_5029608707
742,NA1_5029596964
743,NA1_5029579239
744,NA1_5029486488
745,NA1_5029176728
746,NA1_5029160185
747,NA1_5025030577
748,NA1_5025006575
749,NA1_5024892367
750,NA1_5024724776
751,NA1_5024701099
752,NA1_5036677519
753,NA1_5035669370
754,NA1_5035633114
755,NA1_5032063274
756,NA1_5032042248
757,NA1_5031988350
758,NA1_5031976794
759,NA1_5031939504
760,NA1_5031912030
761,NA1_5031874911
762,NA1_5031856181
763,NA1_5031817200
764,NA1_5031377712
765,NA1_5031355639
766,NA1_5031323047
767,NA1_5031303148
768,NA1_5030703870
769,NA1_5030679346
770,NA1_5030638447
771,NA1_5030609977
772,NA1_5030588782
