,name,tier,win_rate,rank,pick_rate,ban_rate,matches
132,Teemo,DTier,48.82%,83.05%,2.3%,2.4%,"61,924"
133,Thresh,STier,50.04%,47.73%,12.6%,4.8%,"315,852"
134,Tristana,S+Tier,50.71%,41.38%,11.3%,20.2%,"296,913"
135,Trundle,ATier,50.22%,57.63%,1.5%,0.8%,"36,564"
136,Tryndamere,STier,50.87%,27.12%,3.0%,4.3%,"79,275"
137,Twisted Fate,ATier,50.03%,56.90%,3.4%,3.6%,"89,755"
138,Twitch,STier,51.56%,18.52%,3.9%,3.8%,"101,940"
139,Udyr,STier,51.88%,5.88%,3.4%,2.4%,"90,264"
140,Urgot,ATier,51.17%,15.25%,2.3%,0.5%,"60,535"
141,Varus,DTier,46.62%,100.00%,3.5%,0.8%,"87,795"
142,Vayne,BTier,49.6%,66.67%,4.2%,8.2%,"110,280"
143,Veigar,BTier,49.45%,72.41%,3.0%,0.9%,"75,463"
144,Vel'Koz,BTier,49.88%,56.82%,2.1%,0.4%,"52,235"
145,Vex,S+Tier,51.71%,22.41%,3.8%,4.0%,"99,568"
146,Vi,DTier,48.45%,92.16%,4.1%,1.3%,"108,056"
147,Viego,BTier,49.84%,64.71%,11.5%,6.6%,"302,700"
148,Viktor,ATier,50.21%,55.17%,3.6%,1.1%,"93,695"
149,Vladimir,STier,50.5%,46.55%,3.0%,4.2%,"79,761"
150,Volibear,S+Tier,50.84%,33.90%,5.7%,8.1%,"150,302"
151,Warwick,ATier,51.17%,15.69%,2.7%,1.2%,"71,024"
152,Wukong,BTier,48.76%,84.31%,1.2%,0.2%,"29,209"
153,Xayah,BTier,49.75%,55.56%,5.0%,0.6%,"131,403"
154,Xerath,CTier,49.19%,77.27%,3.9%,5.8%,"96,959"
155,Xin Zhao,ATier,50.62%,39.22%,3.6%,0.9%,"91,329"
156,Yasuo,CTier,49.64%,67.24%,8.5%,17.9%,"223,131"
157,Yone,DTier,49.44%,70.69%,6.4%,6.8%,"168,475"
158,Yorick,BTier,49.69%,71.19%,3.0%,3.2%,"77,842"
159,Yuumi,CTier,49.37%,70.45%,6.4%,6.5%,"169,836"
160,Zac,BTier,49.87%,60.78%,3.9%,3.9%,"103,121"
161,Zed,DTier,48.8%,87.93%,7.0%,18.7%,"185,211"
162,Zeri,CTier,49.72%,59.26%,12.0%,4.6%,"300,497"
163,Ziggs,DTier,47.88%,93.10%,1.4%,0.3%,"35,191"
164,Zilean,ATier,50.25%,40.91%,2.3%,0.7%,"57,974"
165,Zoe,ATier,50.91%,32.76%,2.4%,1.2%,"64,511"
166,Zyra,BTier,49.61%,63.64%,4.0%,8.8%,"105,078"
